,Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,Lp,Lr,plastic,fcompact,wcompact
0,W,W44X335,W44X335,F,335.0,98.5,44.0,44      ,15.9,16      ,1.03,1      ,  1/2 ,1.77,1  3/4 ,2.56,2  5/8 ,1  5/16,4.50,38.0,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000,168,1180,278,805,4.24,42.2,132,148,12.327381756795633,38.78544387778705,6750.0,1,1
1,W,W44X290,W44X290,F,290.0,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2  7/16,1  1/4 ,5.02,45.0,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000,166,1040,248,701,4.20,42.0,131,147,12.327381756795633,36.83983460709498,5875.0,1,1
2,W,W44X262,W44X262,F,262.0,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  1/4 ,1  3/16,5.57,49.6,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000,165,928,223,630,4.17,41.9,131,147,12.25673773526672,35.6007309171208,5291.666666666667,1,1
3,W,W44X230,W44X230,F,230.0,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  1/16,1  3/16,6.45,54.8,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000,165,793,192,547,4.13,41.7,130,146,12.11544969220889,34.24271991405271,4583.333333333333,1,1
4,W,W40X593,W40X593,T,593.0,174.0,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445,997000,166,2240,479,1370,4.63,39.8,130,147,13.422364090493813,63.827718408159335,11500.0,1,1
5,W,W40X503,W40X503,T,503.0,148.0,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277,789000,161,1830,403,1150,4.50,39.3,129,145,13.139788004378154,55.17056957926673,9666.666666666666,1,1
6,W,W40X431,W40X431,T,431.0,127.0,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177,638000,158,1510,341,969,4.41,38.9,127,143,12.892533929026952,49.00416024953151,8166.666666666667,1,1
7,W,W40X397,W40X397,T,397.0,117.0,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142,579000,156,1380,318,891,4.38,38.8,126,142,12.857211918262495,46.61232540909247,7500.0,1,1
8,W,W40X372,W40X372,T,372.0,110.0,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116,528000,155,1280,295,829,4.33,38.6,125,141,12.715923875204664,44.37580408727239,7000.0,1,1
9,W,W40X362,W40X362,T,362.0,106.0,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109,513000,154,1240,289,808,4.33,38.6,125,141,12.715923875204664,43.96143342574296,6833.333333333333,1,1
10,W,W40X324,W40X324,F,324.0,95.3,40.2,40  1/8 ,15.9,15  7/8 ,1.00,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1 11/16,4.40,34.2,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,79.4,448000,153,1100,259,720,4.27,38.4,124,140,12.645279853675747,41.162777724752466,6083.333333333333,1,1
11,W,W40X297,W40X297,F,297.0,87.3,39.8,39  7/8 ,15.8,15  7/8 ,0.930, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,1 11/16,4.80,36.8,23200.0,1330.0,1170.0,16.3,1090.0,215.0,138.0,3.54,61.2,399000,151,982,234,652,4.22,38.2,123,139,12.50399181061792,39.25796618440931,5541.666666666667,1,1
12,W,W40X277,W40X277,F,277.0,81.5,39.7,39  3/4 ,15.8,15  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,5.03,41.2,21900.0,1250.0,1100.0,16.4,1040.0,204.0,132.0,3.58,51.5,379000,151,940,225,614,4.25,38.1,123,139,12.645279853675747,38.72314448715284,5208.333333333333,1,1
13,W,W40X249,W40X249,F,249.0,73.5,39.4,39  3/8 ,15.8,15  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,5.55,45.6,19600.0,1120.0,993.0,16.3,926.0,182.0,118.0,3.55,38.1,334000,150,841,203,551,4.21,38.0,122,138,12.539313821382377,37.110618031799376,4666.666666666667,1,1
14,W,W40X215,W40X215,F,215.0,63.5,39.0,39      ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,6.45,52.6,16700.0,964.0,859.0,16.2,803.0,156.0,101.0,3.54,24.8,284000,149,719,175,473,4.19,37.8,122,138,12.50399181061792,35.559414361607686,4016.6666666666665,1,1
15,W,W40X199,W40X199,F,199.0,58.8,38.7,38  5/8 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,1  9/16,7.39,52.6,14900.0,869.0,770.0,16.0,695.0,137.0,88.2,3.45,18.3,246000,149,628,153,427,4.12,37.6,121,137,12.186093713737804,34.25194579878097,3620.8333333333335,1,1
16,W,W40X392,W40X392,T,392.0,116.0,41.6,41  5/8 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.70,3 13/16,1 15/16,2.45,24.1,29900.0,1710.0,1440.0,16.1,803.0,212.0,130.0,2.64,172,306000,121,946,270,848,3.30,39.1,116,128,9.325010841816754,38.27152840570469,7125.0,1,1
17,W,W40X331,W40X331,T,331.0,97.7,40.8,40  3/4 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.86,28.0,24700.0,1430.0,1210.0,15.9,644.0,172.0,106.0,2.57,105,241000,118,766,226,706,3.21,38.7,114,126,9.077756766465553,33.70636704358792,5958.333333333333,1,1
18,W,W40X327,W40X327,T,327.0,95.9,40.8,40  3/4 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.85,29.0,24500.0,1410.0,1200.0,16.0,640.0,170.0,105.0,2.58,103,239000,117,754,225,695,3.21,38.7,114,126,9.11307877723001,33.599328552757484,5875.0,1,1
19,W,W40X294,W40X294,F,294.0,86.2,40.4,40  3/8 ,12.0,12      ,1.06,1  1/16,  9/16,1.93,1 15/16,3.11,3  3/16,1  3/4 ,3.11,32.2,21900.0,1270.0,1080.0,15.9,562.0,150.0,93.5,2.55,76.6,208000,115,668,203,622,3.16,38.5,113,125,9.007112744936636,31.44724194422874,5291.666666666667,1,1
20,W,W40X278,W40X278,F,278.0,82.3,40.2,40  1/8 ,12.0,12      ,1.03,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,3.31,33.3,20500.0,1190.0,1020.0,15.8,521.0,140.0,87.1,2.52,65.0,192000,115,622,190,587,3.13,38.4,112,124,8.901146712643266,30.3628283361948,4958.333333333333,1,1
21,W,W40X264,W40X264,F,264.0,77.4,40.0,40      ,11.9,11  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.91,3      ,1 11/16,3.45,35.6,19400.0,1130.0,971.0,15.8,493.0,132.0,82.6,2.52,56.1,181000,114,589,182,555,3.12,38.3,112,124,8.901146712643266,29.619209644434388,4708.333333333333,1,1
22,W,W40X235,W40X235,F,235.0,69.1,39.7,39  3/4 ,11.9,11  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,3.77,41.2,17400.0,1010.0,875.0,15.9,444.0,118.0,74.6,2.54,41.3,161000,113,530,166,495,3.11,38.1,111,123,8.97179073417218,28.378616816824632,4208.333333333333,1,1
23,W,W40X211,W40X211,F,211.0,62.1,39.4,39  3/8 ,11.8,11  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,4.17,45.6,15500.0,906.0,786.0,15.8,390.0,105.0,66.1,2.51,30.4,141000,112,468,148,442,3.07,38.0,110,122,8.865824701878806,27.09517144403111,3775.0,1,1
24,W,W40X183,W40X183,F,183.0,53.3,39.0,39      ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.20,1  3/16,2.38,2  1/2 ,1  9/16,4.92,52.6,13200.0,774.0,675.0,15.7,331.0,88.3,56.0,2.49,19.3,118000,112,395,126,376,3.04,37.8,110,122,8.795180680349894,25.770096969553475,3225.0,1,1
25,W,W40X167,W40X167,F,167.0,49.3,38.6,38  5/8 ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.03,1      ,2.21,2  5/16,1  9/16,5.76,52.6,11600.0,693.0,600.0,15.3,283.0,76.0,47.9,2.4,14.0,99700,111,336,107,336,2.98,37.6,109,121,8.477282583469776,24.729647612427453,2887.5,1,1
26,W,W40X149,W40X149,F,149.0,43.8,38.2,38  1/4 ,11.8,11  3/4 ,0.630,  5/8 ,  5/16,0.830, 13/16,2.01,2  1/8 ,1  1/2 ,7.11,54.3,9800.0,598.0,513.0,15.0,229.0,62.2,38.8,2.29,9.36,80000,110,270,86.7,288,2.89,37.4,108,120,8.088740465060745,23.48534968676239,2491.6666666666665,1,1
27,W,W36X652,W36X652,T,652.0,192.0,41.1,41      ,17.6,17  5/8 ,1.97,2      ,1      ,3.54,3  9/16,4.49,4 13/16,2  3/16,2.48,16.3,50600.0,2910.0,2460.0,16.2,3230.0,581.0,367.0,4.1,593,1130000,165,2560,518,1450,4.96,37.6,129,147,14.482024413427533,77.70876955090465,12125.0,1,1
28,W,W36X529,W36X529,T,529.0,156.0,39.8,39  3/4 ,17.2,17  1/4 ,1.61,1  5/8 , 13/16,2.91,2 15/16,3.86,4  3/16,2      ,2.96,19.9,39600.0,2330.0,1990.0,16.0,2490.0,454.0,289.0,4.0,327,846000,159,1990,419,1160,4.80,36.9,127,144,14.128804305782962,64.26822341368144,9708.333333333334,1,1
29,W,W36X487,W36X487,T,487.0,143.0,39.3,39  3/8 ,17.1,17  1/8 ,1.50,1  1/2 ,  3/4 ,2.68,2 11/16,3.63,4      ,1  7/8 ,3.19,21.4,36000.0,2130.0,1830.0,15.8,2250.0,412.0,263.0,3.96,258,754000,157,1800,383,1060,4.74,36.6,125,142,13.98751626272513,59.893489872941124,8875.0,1,1
30,W,W36X441,W36X441,T,441.0,130.0,38.9,38  7/8 ,17.0,17      ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.39,3  3/4 ,1  7/8 ,3.48,23.6,32100.0,1910.0,1650.0,15.7,1990.0,368.0,235.0,3.92,194,661000,154,1600,347,950,4.69,36.5,124,141,13.846228219667301,55.4248842519745,7958.333333333333,1,1
31,W,W36X395,W36X395,T,395.0,116.0,38.4,38  3/8 ,16.8,16  7/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.15,3  7/16,1 13/16,3.83,26.3,28500.0,1710.0,1490.0,15.7,1750.0,325.0,208.0,3.88,142,575000,152,1410,311,847,4.61,36.2,123,140,13.70494017660947,50.85471479388181,7125.0,1,1
32,W,W36X361,W36X361,T,361.0,106.0,38.0,38      ,16.7,16  3/4 ,1.12,1  1/8 ,  9/16,2.01,2      ,2.96,3  5/16,1  3/4 ,4.16,28.6,25700.0,1550.0,1350.0,15.6,1570.0,293.0,188.0,3.85,109,509000,150,1270,282,767,4.58,36.0,122,139,13.5989741443161,48.095095732291874,6458.333333333333,1,1
33,W,W36X330,W36X330,F,330.0,96.9,37.7,37  5/8 ,16.6,16  5/8 ,1.02,1      ,  1/2 ,1.85,1  7/8 ,2.80,3  1/8 ,1  3/4 ,4.49,31.4,23300.0,1410.0,1240.0,15.5,1420.0,265.0,171.0,3.83,84.3,456000,149,1150,259,698,4.53,35.9,121,138,13.528330122787183,45.40140808832002,5875.0,1,1
34,W,W36X302,W36X302,F,302.0,89.0,37.3,37  3/8 ,16.7,16  5/8 ,0.945, 15/16,  1/2 ,1.68,1 11/16,2.63,3      ,1 11/16,4.96,33.9,21100.0,1280.0,1130.0,15.4,1300.0,241.0,156.0,3.82,64.3,412000,148,1040,235,635,4.53,35.6,121,138,13.493008112022727,43.56340701396761,5333.333333333333,1,1
35,W,W36X282,W36X282,F,282.0,82.9,37.1,37  1/8 ,16.6,16  5/8 ,0.885,  7/8 ,  7/16,1.57,1  9/16,2.52,2  7/8 ,1  5/8 ,5.29,36.2,19600.0,1190.0,1050.0,15.4,1200.0,223.0,144.0,3.8,52.7,378000,147,960,219,591,4.50,35.5,120,137,13.422364090493813,42.136552304717576,4958.333333333333,1,1
36,W,W36X262,W36X262,F,262.0,77.2,36.9,36  7/8 ,16.6,16  1/2 ,0.840, 13/16,  7/16,1.44,1  7/16,2.39,2  3/4 ,1  5/8 ,5.75,38.2,17900.0,1100.0,972.0,15.3,1090.0,204.0,132.0,3.76,41.6,342000,147,873,200,543,4.46,35.5,120,137,13.281076047435981,40.495677180105574,4583.333333333333,1,1
37,W,W36X247,W36X247,F,247.0,72.5,36.7,36  5/8 ,16.5,16  1/2 ,0.800, 13/16,  7/16,1.35,1  3/8 ,2.30,2  5/8 ,1  5/8 ,6.11,40.1,16700.0,1030.0,913.0,15.2,1010.0,190.0,123.0,3.74,34.7,316000,146,812,187,509,4.42,35.4,120,136,13.21043202590707,39.342557706100884,4291.666666666667,1,1
38,W,W36X231,W36X231,F,231.0,68.2,36.5,36  1/2 ,16.5,16  1/2 ,0.760,  3/4 ,  3/8 ,1.26,1  1/4 ,2.21,2  9/16,1  9/16,6.54,42.2,15600.0,963.0,854.0,15.1,940.0,176.0,114.0,3.71,28.7,292000,145,756,175,476,4.40,35.2,120,136,13.104465993613696,38.460635833451626,4012.5,1,1
39,W,W36X256,W36X256,F,256.0,75.3,37.4,37  3/8 ,12.2,12  1/4 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.48,2  5/8 ,1  5/16,3.53,33.8,16800.0,1040.0,895.0,14.9,528.0,137.0,86.5,2.65,52.9,168000,109,576,174,516,3.24,35.7,108,120,9.36033285258121,31.412609505759917,4333.333333333333,1,1
40,W,W36X232,W36X232,F,232.0,68.0,37.1,37  1/8 ,12.1,12  1/8 ,0.870,  7/8 ,  7/16,1.57,1  9/16,2.32,2  7/16,1  1/4 ,3.86,37.3,15000.0,936.0,809.0,14.8,468.0,122.0,77.2,2.62,39.6,148000,108,512,157,464,3.21,35.5,108,120,9.25436682028784,29.903959643027722,3900.0,1,1
41,W,W36X210,W36X210,F,210.0,61.9,36.7,36  3/4 ,12.2,12  1/8 ,0.830, 13/16,  7/16,1.36,1  3/8 ,2.11,2  5/16,1  1/4 ,4.48,39.1,13200.0,833.0,719.0,14.6,411.0,107.0,67.5,2.58,28.0,128000,108,446,136,412,3.18,35.3,107,119,9.11307877723001,28.432313615671763,3470.8333333333335,1,1
42,W,W36X194,W36X194,F,194.0,57.0,36.5,36  1/2 ,12.1,12  1/8 ,0.765,  3/4 ,  3/8 ,1.26,1  1/4 ,2.01,2  3/16,1  3/16,4.81,42.4,12100.0,767.0,664.0,14.6,375.0,97.7,61.9,2.56,22.2,116000,107,407,126,379,3.15,35.2,107,119,9.042434755701095,27.51358746770497,3195.8333333333335,1,1
43,W,W36X182,W36X182,F,182.0,53.6,36.3,36  3/8 ,12.1,12  1/8 ,0.725,  3/4 ,  3/8 ,1.18,1  3/16,1.93,2  1/8 ,1  3/16,5.12,44.8,11300.0,718.0,623.0,14.5,347.0,90.7,57.6,2.55,18.5,107000,106,378,118,355,3.13,35.1,106,118,9.007112744936636,26.904926497109,2991.6666666666665,1,1
44,W,W36X170,W36X170,F,170.0,50.0,36.2,36  1/8 ,12.0,12      ,0.680, 11/16,  3/8 ,1.10,1  1/8 ,1.85,2      ,1  3/16,5.47,47.7,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,15.1,98500,105,349,109,330,3.11,35.1,106,118,8.936468723407723,26.297893065842,2783.3333333333335,1,1
45,W,W36X160,W36X160,F,160.0,47.0,36.0,36      ,12.0,12      ,0.650,  5/8 ,  5/16,1.02,1      ,1.77,1 15/16,1  1/8 ,5.88,49.9,9760.0,624.0,542.0,14.4,295.0,77.3,49.1,2.5,12.4,90200,105,321,101,308,3.09,35.0,105,117,8.83050269111435,25.776213270057408,2600.0,1,1
46,W,W36X150,W36X150,F,150.0,44.3,35.9,35  7/8 ,12.0,12      ,0.625,  5/8 ,  5/16,0.940, 15/16,1.69,1  7/8 ,1  1/8 ,6.37,51.9,9040.0,581.0,504.0,14.3,270.0,70.9,45.1,2.47,10.1,82200,105,294,93.1,287,3.06,35.0,105,117,8.724536658820979,25.20219786981998,2420.8333333333335,1,1
47,W,W36X135,W36X135,F,135.0,39.9,35.6,35  1/2 ,12.0,12      ,0.600,  5/8 ,  5/16,0.790, 13/16,1.54,1 11/16,1  1/8 ,7.56,54.1,7800.0,509.0,439.0,14.0,225.0,59.7,37.7,2.38,7.00,68100,104,245,77.9,251,2.99,34.8,105,117,8.406638561940861,24.183996097589944,2120.8333333333335,1,1
48,W,W33X387,W33X387,T,387.0,114.0,36.0,36      ,16.2,16  1/4 ,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,3.07,3  3/16,1  7/16,3.55,23.7,24300.0,1560.0,1350.0,14.6,1620.0,312.0,200.0,3.77,148,459000,137,1260,287,778,4.49,33.7,117,133,13.316398058200441,53.24972453554818,6500.0,1,1
49,W,W33X354,W33X354,T,354.0,104.0,35.6,35  1/2 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.88,2 15/16,1  3/8 ,3.85,25.7,22000.0,1420.0,1240.0,14.5,1460.0,282.0,181.0,3.74,115,408000,135,1130,262,707,4.44,33.5,116,132,13.21043202590707,49.79224592336289,5916.666666666667,1,1
50,W,W33X318,W33X318,F,318.0,93.7,35.2,35  1/8 ,16.0,16      ,1.04,1  1/16,  9/16,1.89,1  7/8 ,2.68,2  3/4 ,1  5/16,4.23,28.7,19500.0,1270.0,1110.0,14.5,1290.0,250.0,161.0,3.71,84.4,357000,133,1010,235,632,4.40,33.3,115,131,13.104465993613696,46.448840130832,5291.666666666667,1,1
51,W,W33X291,W33X291,F,291.0,85.6,34.8,34  7/8 ,15.9,15  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.52,2  5/8 ,1  5/16,4.60,31.0,17700.0,1160.0,1020.0,14.4,1160.0,226.0,146.0,3.68,65.1,319000,131,904,214,573,4.34,33.1,114,130,12.998499961320322,43.702876782599965,4833.333333333333,1,1
52,W,W33X263,W33X263,F,263.0,77.4,34.5,34  1/2 ,15.8,15  3/4 ,0.870,  7/8 ,  7/16,1.57,1  9/16,2.36,2  7/16,1  1/4 ,5.03,34.3,15900.0,1040.0,919.0,14.3,1040.0,202.0,131.0,3.66,48.7,281000,130,807,193,515,4.31,32.9,113,129,12.927855939791408,41.52064697520869,4333.333333333333,1,1
53,W,W33X241,W33X241,F,241.0,71.1,34.2,34  1/8 ,15.9,15  7/8 ,0.830, 13/16,  7/16,1.40,1  3/8 ,2.19,2  1/4 ,1  1/4 ,5.66,35.9,14200.0,940.0,831.0,14.1,933.0,182.0,118.0,3.62,36.2,251000,130,726,173,467,4.29,32.8,113,129,12.78656789673358,39.66781493730173,3916.6666666666665,1,1
54,W,W33X221,W33X221,F,221.0,65.3,33.9,33  7/8 ,15.8,15  3/4 ,0.775,  3/4 ,  3/8 ,1.28,1  1/4 ,2.06,2  1/8 ,1  3/16,6.20,38.5,12900.0,857.0,759.0,14.1,840.0,164.0,106.0,3.59,27.8,224000,129,647,156,423,4.25,32.6,112,128,12.680601864440206,38.11604962493215,3570.8333333333335,1,1
55,W,W33X201,W33X201,F,201.0,59.1,33.7,33  5/8 ,15.7,15  3/4 ,0.715, 11/16,  3/8 ,1.15,1  1/8 ,1.94,2      ,1  3/16,6.85,41.7,11600.0,773.0,686.0,14.0,749.0,147.0,95.2,3.56,20.8,198000,128,577,140,382,4.21,32.6,111,127,12.574635832146834,36.66081992491362,3220.8333333333335,1,1
56,W,W33X169,W33X169,F,169.0,49.5,33.8,33  7/8 ,11.5,11  1/2 ,0.670, 11/16,  3/8 ,1.22,1  1/4 ,1.92,2  1/8 ,1  3/16,4.71,44.7,9290.0,629.0,549.0,13.7,310.0,84.4,53.9,2.5,17.7,82400,93.7,329,108,311,3.03,32.6,99.5,111,8.83050269111435,26.624628782829518,2620.8333333333335,1,1
57,W,W33X152,W33X152,F,152.0,44.9,33.5,33  1/2 ,11.6,11  5/8 ,0.635,  5/8 ,  5/16,1.06,1  1/16,1.76,1 15/16,1  1/8 ,5.48,47.2,8160.0,559.0,487.0,13.5,273.0,73.9,47.2,2.47,12.4,71700,94.1,289,94.3,278,3.01,32.4,99.4,111,8.724536658820979,25.633054561235138,2329.1666666666665,1,1
58,W,W33X141,W33X141,F,141.0,41.5,33.3,33  1/4 ,11.5,11  1/2 ,0.605,  5/8 ,  5/16,0.960, 15/16,1.66,1 13/16,1  1/8 ,6.01,49.6,7450.0,514.0,448.0,13.4,246.0,66.9,42.7,2.43,9.70,64400,93.0,257,84.6,253,2.98,32.3,98.5,110,8.58324861576315,24.923722757266443,2141.6666666666665,1,1
59,W,W33X130,W33X130,F,130.0,38.3,33.1,33  1/8 ,11.5,11  1/2 ,0.580,  9/16,  5/16,0.855,  7/8 ,1.56,1  3/4 ,1  1/8 ,6.73,51.7,6710.0,467.0,406.0,13.2,218.0,59.5,37.9,2.39,7.37,56600,92.7,228,75.3,230,2.94,32.2,98.5,110,8.44196057270532,24.180220882726886,1945.8333333333333,1,1
60,W,W33X118,W33X118,F,118.0,34.7,32.9,32  7/8 ,11.5,11  1/2 ,0.550,  9/16,  5/16,0.740,  3/4 ,1.44,1  5/8 ,1  1/8 ,7.76,54.5,5900.0,415.0,359.0,13.0,187.0,51.3,32.6,2.32,5.30,48300,92.5,197,65.1,205,2.89,32.2,97.5,109,8.194706497354117,23.37622890617591,1729.1666666666667,1,1
61,W,W30X391,W30X391,T,391.0,115.0,33.2,33  1/4 ,15.6,15  5/8 ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.23,3  3/8 ,1  1/2 ,3.19,19.7,20700.0,1450.0,1250.0,13.4,1550.0,310.0,198.0,3.67,173,366000,120,1140,267,722,4.37,30.8,109,125,12.963177950555867,58.727754926690274,6041.666666666667,1,1
62,W,W30X357,W30X357,T,357.0,105.0,32.8,32  3/4 ,15.5,15  1/2 ,1.24,1  1/4 ,  5/8 ,2.24,2  1/4 ,3.03,3  1/8 ,1  7/16,3.45,21.6,18700.0,1320.0,1140.0,13.3,1390.0,279.0,179.0,3.64,134,324000,118,1030,244,655,4.31,30.6,108,124,12.857211918262495,54.401250076498975,5500.0,1,1
63,W,W30X326,W30X326,T,326.0,95.9,32.4,32  3/8 ,15.4,15  3/8 ,1.14,1  1/8 ,  9/16,2.05,2  1/16,2.84,2 15/16,1  3/8 ,3.75,23.4,16800.0,1190.0,1040.0,13.2,1240.0,252.0,162.0,3.6,103,287000,117,922,222,593,4.26,30.4,108,123,12.715923875204664,50.5485804946162,4958.333333333333,1,1
